Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature_diff,Power,Tool_wear_rate,Target,Failure Type
L,302.34220394333914,310.0284689404384,1402.5626105137112,33.728717382697006,240.10717036570063,7.686264997099272,4953.939536585223,0.9604286814628025,0,No Failure
L,297.48686932810915,310.9790358254675,1375.8514281595435,39.35606162048077,175.48627125467692,13.492166497358369,5670.375100655697,0.7019450850187077,0,No Failure
M,302.57840610281374,309.3568460027989,1465.0706467680836,38.821352653571005,98.07456556498725,6.7784398999851305,5956.04333065328,0.392298262259949,0,No Failure
M,299.36368299676417,308.77343942009804,1528.4319033820232,31.561745812126844,45.803300616442804,9.409756423333874,5051.678811491587,0.18321320246577122,0,No Failure
M,301.20146603029116,309.8141943899002,1484.9661446910202,36.20868702990886,44.25477122456189,8.612728359609036,5630.642414509835,0.17701908489824758,0,No Failure
L,298.18756933590555,309.9393145667981,1340.2864597682017,39.868096440623496,119.43555475535811,11.751745230892539,5595.665540136316,0.47774221902143243,0,No Failure
M,300.283959827748,309.09134771808453,1449.5766217182215,46.33208952918776,116.8917624942386,8.807387890336543,7033.1791682699195,0.4675670499769544,0,No Failure
M,300.6274463657938,312.09616127605096,1462.7555074217846,39.05585078386985,104.447159691862,11.468714910257177,5982.551732429587,0.417788638767448,0,No Failure
L,297.0307904161607,309.5213036189921,1371.9273249413568,39.43177396192996,212.95150716394807,12.49051320283138,5665.079902466193,0.8518060286557922,1,TWF
M,301.21653433268835,308.84634064857346,1530.1870402581146,35.924166645199,244.79577922009432,7.629806315885105,5756.517638790993,0.9791831168803773,1,TWF
L,302.6918700156766,309.9063786809294,1384.2452209897517,45.47945390604117,88.70579324328315,7.214508665252765,6592.602518824629,0.3548231729731326,0,No Failure
L,299.6507041086367,310.9078606377045,1382.5409498371475,44.51160875750476,73.652658537885,11.2571565290678,6444.3617704507105,0.29461063415154,0,No Failure
H,302.72033626165603,310.51741424899825,1647.4093417216118,45.94667386490759,192.52769552546906,7.79707798734222,7926.550303287387,0.7701107821018762,0,No Failure
H,299.6206130130952,310.985593920044,1633.7317193853514,42.55919432534791,112.44823614764427,11.364980906948801,7281.196588477876,0.44979294459057706,0,No Failure
H,301.69916906209323,309.62848940566687,1661.5558057426158,34.00713219048162,54.39214821030941,7.929320343573636,5917.1633660922225,0.21756859284123764,0,No Failure
M,295.5628600680978,311.4876884464035,1524.6422496930081,45.43334949421518,45.23481559708478,15.924828378305733,7253.89598737889,0.18093926238833913,0,No Failure
L,304.83755555862695,310.5617110279184,1350.2431127466796,40.28664873968891,70.1419395977935,5.724155469291475,5696.4164333244735,0.280567758391174,1,HDF
M,302.9909164904859,311.0477015688776,1536.3075605974022,38.45704239256828,0.33090716798622744,8.05678507839167,6187.036338942975,0.0013236286719449097,0,No Failure
M,299.43074899149264,310.3651606324752,1493.5479220855198,42.24229530946316,235.35748464536482,10.934411640982546,6606.8628006884255,0.9414299385814593,1,TWF
L,296.05582194671234,310.8248840377288,1300.9860532351975,41.12094851914008,107.56221913858904,14.769062091016451,5602.274475416326,0.4302488765543562,0,No Failure
M,300.57605673661095,309.1269474403228,1499.68913273877,34.6540100321905,20.71179300435591,8.550890703711843,5442.311042044211,0.08284717201742364,0,No Failure
L,297.1121489058525,309.5085895833104,1355.2986139129785,38.396010692569774,41.239282086064506,12.396440677457917,5449.412907582055,0.16495712834425802,0,No Failure
H,300.889707075115,311.84648059555605,1646.7187973089435,32.47953603792169,80.83445235207495,10.956773520441061,5600.9007619111035,0.3233378094082998,0,No Failure
L,300.8231314383286,311.55974194728395,1414.032778044113,40.430133172994786,137.9234857826798,10.73661050895538,5986.779551284377,0.5516939431307192,0,No Failure
M,298.11719366199594,308.8529344002809,1524.1590594217212,46.6506388365057,175.92901983876203,10.73574073828496,7445.888100107201,0.7037160793550481,0,No Failure
M,302.24193404722877,310.2497360678638,1457.0717703413486,31.021924312657625,76.96279721871029,8.00780202063504,4733.455472124462,0.3078511888748412,0,No Failure
M,301.61114940561237,309.56905619951476,1546.0310104259486,40.64314034905738,239.40412055493059,7.957906793902396,6580.12396808979,0.9576164822197224,1,TWF
M,301.95164667457715,309.30296853063516,1417.7574881751248,43.342392668972614,190.0779757080852,7.351321856058007,6434.924416849788,0.7603119028323408,0,No Failure
L,300.0177154073378,310.28483969535546,1457.551218642625,44.08178491862233,206.44969247253368,10.26712428801767,6728.397086917324,0.8257987698901348,1,TWF
H,297.16895186617256,311.6409629323654,1638.5077794577248,38.26905119589561,80.9114222087541,14.472011066192863,6566.36198650098,0.32364568883501643,0,No Failure
M,301.95574454442226,310.4516624732842,1494.312967900455,34.48884635167498,95.24030147193854,8.495917928861957,5396.955669951232,0.3809612058877542,0,No Failure
H,299.4592572017284,310.18048755008095,1647.5993504410544,39.06474017438733,134.51544608731353,10.721230348352549,6740.081843735782,0.5380617843492541,0,No Failure
H,297.22043971361467,311.01486117993517,1665.408217313607,47.95435514979726,112.92424043639477,13.7944214663205,8363.294239242758,0.45169696174557905,0,No Failure
M,302.70407873194864,309.6400238264191,1499.9921039619946,31.45222177338018,64.97294774378068,6.935945094470469,4940.477436181103,0.2598917909751227,0,No Failure
H,304.198815041005,310.9121143007306,1644.6641924465093,35.920165024740946,249.31772938982002,6.713299259725602,6186.488049033906,0.9972709175592801,1,TWF
L,299.9175037420416,311.39646570045574,1415.4459154678093,37.70615257737109,212.0893946017141,11.478961958414118,5589.00010861635,0.8483575784068564,1,TWF
L,304.3182423092066,307.92284034069917,1378.2798039875424,35.12164391043932,59.49683611448006,3.6045980314925714,5069.216570153937,0.23798734445792025,0,No Failure
L,300.1826294572227,310.79725229854006,1302.0598072814619,39.79163632292981,223.0996361711025,10.614622841317384,5425.644691007442,0.89239854468441,1,TWF
M,299.2390881916673,308.4609450784295,1522.2202174300717,47.072629697143775,146.7214915853522,9.221856886762225,7503.684483032176,0.5868859663414088,0,No Failure
M,298.739083091629,311.2283277105445,1515.7232100955002,33.98090776595878,3.14051221567313,12.48924461891545,5393.65911821319,0.01256204886269252,0,No Failure
L,303.2741648159855,309.36297439012714,1322.736313720939,39.268169117511164,86.5378452416119,6.088809574141635,5439.29417208198,0.3461513809664476,0,No Failure
H,298.43971223722446,309.2823286223935,1681.6855370544865,41.958745152997615,6.433189853664506,10.842616385169038,7389.174086790095,0.025732759414658024,0,No Failure
M,301.47053861995,310.6952692270888,1495.2728219633088,38.3270687571602,21.94263280550221,9.224730607138781,6001.428874356994,0.08777053122200884,0,No Failure
L,298.8816723298816,310.3641700631424,1338.916326393745,32.10787511959389,44.744326616133286,11.4824977332608,4501.8769517171795,0.17897730646453314,0,No Failure
M,299.0793864748513,309.00081309703836,1492.532606477012,36.810872389115545,121.09966091655089,9.921426622187084,5753.452814206799,0.48439864366620355,0,No Failure
L,302.06049938793916,308.74700024283163,1228.59409715238,36.82581824225102,95.32217684380592,6.686500854892472,4737.938811521588,0.3812887073752237,0,No Failure
H,299.2399263074213,310.31251851250875,1628.932026682616,45.16751977818789,37.24904297839501,11.07259220508746,7704.737084417685,0.14899617191358006,0,No Failure
L,299.1904092411594,308.7959130498288,1385.65866210628,42.09789648849252,98.63885629483931,9.605503808669425,6108.6504543407755,0.39455542517935727,0,No Failure
H,302.2656093943496,309.43852702707636,1649.1035502838495,34.240521252346014,76.08487278393056,7.172917632726751,5913.122988186644,0.30433949113572223,0,No Failure
M,303.19479458644327,310.1156207904214,1461.4444071043274,38.0643182099161,102.53898472700895,6.920826203978152,5825.443210394186,0.4101559389080358,0,No Failure
L,301.28937960656845,309.0341283657449,1398.231562759602,37.49872395908122,43.0777215667745,7.744748759176446,5490.655665919543,0.172310886267098,0,No Failure
L,298.6904604487521,310.42653929002654,1335.0699920228303,49.773476418586235,152.42775962109638,11.736078841274434,6958.74027684057,0.6097110384843856,0,No Failure
H,298.97878300140485,311.99014359588347,1601.136980373539,43.46156590150811,11.132806416321223,13.011360594478617,7287.229982511079,0.04453122566528489,0,No Failure
M,300.1598305274801,309.85144458509944,1566.1803738501305,34.61280790484732,96.96930295339942,9.691614057619347,5676.847497506039,0.3878772118135977,0,No Failure
M,300.6418601238513,310.1301510619856,1468.4048221653672,36.116010386991746,223.72141839580036,9.488290938134298,5553.59479462436,0.8948856735832014,1,TWF
M,298.0242681797205,312.0180967328355,1526.3847453385713,38.10727300402306,104.91756892569254,13.993828553115009,6091.166996324262,0.41967027570277016,0,No Failure
L,301.4460758791597,308.81239888262263,1311.5342949572698,41.81183787695771,110.26998414800612,7.366323003462924,5742.586254364757,0.4410799365920245,0,No Failure
M,300.1710266592792,311.19123519518075,1504.0748050372147,42.42460473081119,17.002163598738072,11.020208535901531,6682.144440468541,0.06800865439495228,0,No Failure
L,296.56858336272376,311.0708575979125,1304.890951831591,41.002413213457224,151.34107372239495,14.502274235188736,5602.8920587371285,0.6053642948895798,0,No Failure
H,298.14214703507855,311.3543173391738,1600.4278327490536,40.95117377181868,234.1006998928635,13.212170304095253,6863.269739426137,0.936402799571454,0,No Failure
M,298.9917426526967,311.29174785073263,1515.6660763401424,39.319998379048286,72.90259913596087,12.300005198035933,6240.877234379752,0.29161039654384346,0,No Failure
M,299.8542846223179,310.28057496595864,1512.158716354032,39.35515386792941,98.31291214968313,10.426290343640744,6232.002370218775,0.3932516485987325,0,No Failure
L,303.778557591008,309.4170705044007,1407.2324722109531,31.08545051357057,147.0395255068219,5.638512913392731,4580.908654817935,0.5881581020272876,0,No Failure
M,300.47634261227927,311.09457329122057,1498.9685420911242,39.6935418917816,23.30279004104055,10.618230678941302,6230.759521095758,0.0932111601641622,1,RNF
M,298.31845622020273,311.1328422117129,1566.6105538237948,37.113729721028136,237.57086223760842,12.814385991510164,6088.695659628906,0.9502834489504337,1,TWF
M,300.44126160861435,311.1053139014933,1508.050400023111,31.735848896076345,116.89916844170436,10.664052292878921,5011.809947907934,0.46759667376681746,0,No Failure
M,299.29582450509224,310.04450208231924,1517.0032404371163,52.08941289018242,28.774076096528155,10.748677577227,8274.934958743102,0.11509630438611262,0,No Failure
H,300.6495164790671,309.78380548638665,1595.662830195711,43.556518029935596,83.80681433658043,9.13428900731958,7278.181823208981,0.3352272573463217,0,No Failure
M,301.16113537407125,310.1913622541116,1481.577470546324,40.06551629139148,93.45772955550672,9.030226880040345,6216.182077031902,0.37383091822202685,0,No Failure
L,302.41846129444787,310.94223001756785,1375.9839850257988,38.14436004702105,86.34438314371774,8.523768723119986,5496.324056305904,0.3453775325748709,0,No Failure
M,299.95142700865995,311.02435178985996,1497.4731671275924,43.65111229324343,173.30591240911147,11.072924781200015,6845.1501939489635,0.6932236496364459,0,No Failure
M,303.27792105519967,309.5703238729254,1505.630494051039,34.188498703964925,86.38018232916971,6.292402817725758,5390.475176213706,0.3455207293166789,0,No Failure
M,301.81604532507237,310.31537289612737,1475.5051873285743,38.43647854028593,80.96349163685582,8.499327571055005,5938.994873702976,0.32385396654742327,0,No Failure
M,298.5851209103756,308.69122169551406,1503.6584092041487,35.23914558662963,80.52213089993185,10.106100785138437,5548.852433265832,0.3220885235997274,0,No Failure
M,304.41971133149696,310.9849501030059,1503.556376747752,43.60781426835676,194.4621289728398,6.565238771508916,6866.139995974597,0.7778485158913592,0,No Failure
M,300.6539890265402,309.2166912432749,1464.5869494034428,35.86629427073673,77.09538042225181,8.562702216734692,5500.856114582452,0.30838152168900723,0,No Failure
M,298.32975099205555,310.7852553595715,1519.2764953404178,45.50663905816849,3.4995232109570895,12.455504367515971,7240.027208694789,0.013998092843828358,0,No Failure
L,303.30582610246086,308.8506954226098,1264.9967526541016,39.50362306198105,91.38378429601873,5.544869320148962,5233.0508790862295,0.36553513718407493,1,HDF
L,304.1555551703969,311.031415906434,1359.2119040298842,43.87245048413528,69.55929492300974,6.875860736037112,6244.643929842957,0.278237179692039,1,HDF
L,299.93394947256087,310.3218351900228,1438.279634691275,41.99929442185437,227.25431260741706,10.387885717461927,6325.777956252086,0.9090172504296683,0,No Failure
M,298.9926994792488,309.2186423043831,1520.4165161345725,45.29622416997759,119.47654393090463,10.225942825134268,7211.958151037258,0.4779061757236185,0,No Failure
M,299.6552500850927,310.69135638108054,1520.228977381113,35.32411701985738,58.64383353357108,11.03610629598785,5623.529001649458,0.23457533413428433,0,No Failure
M,301.4294634550354,309.40963830819464,1473.0771997515394,44.5281159247332,245.39583614910063,7.980174853159269,6868.919792073795,0.9815833445964025,0,No Failure
H,302.55571331006104,311.24955503744513,1720.7624821261145,32.68705673385368,61.68605760139709,8.693841727384097,5890.136553520533,0.24674423040558835,0,No Failure
L,301.14097466172717,309.7258885246193,1418.8359047301144,40.21563381056843,190.75603626979898,8.584913862892108,5975.244843528255,0.7630241450791959,0,No Failure
M,300.20344641694356,308.27895287437036,1474.692299313133,37.27039033848493,162.38765483258683,8.075506457426798,5755.644631242912,0.6495506193303473,0,No Failure
M,302.99602354060886,309.0175837595191,1485.7571027455538,32.977293080024815,115.55702319361383,6.021560218910224,5130.87503191554,0.4622280927744553,0,No Failure
L,299.37432705389693,309.5695852913127,1412.7328022463344,35.5323893750333,101.45877562891175,10.195258237415771,5256.698392680427,0.40583510251564703,0,No Failure
L,302.0618386767338,311.3681890237486,1439.807368915838,36.79672136860333,218.09561982679742,9.306350347014757,5548.072583569022,0.8723824793071897,0,No Failure
L,299.4238744032974,310.90114363052925,1286.7656982454855,39.01724158948067,118.77059715226548,11.47726922723183,5257.565064390548,0.47508238860906193,0,No Failure
L,300.86204591602177,311.6238614123221,1299.8144615137712,37.37575174075403,93.83928480748143,10.761815496300358,5087.447246771954,0.37535713922992575,0,No Failure
H,299.7728748704191,312.15363521602984,1644.2485297431133,42.400129867698276,88.56255122362275,12.380760345610724,7300.679225068748,0.354250204894491,0,No Failure
H,299.8882956346944,309.96524919540906,1563.1562388222994,37.84920842205715,68.96700120064177,10.076953560714685,6195.663287825437,0.2758680048025671,0,No Failure
M,299.2452269650756,309.8115131402412,1500.5713548062827,37.615711494993334,102.24148790113432,10.566286175165601,5910.912772954559,0.4089659516045373,0,No Failure
H,302.6897080623614,310.08872007566947,1697.4297405611994,40.55466967479569,29.979496927962284,7.399012013308095,7208.772060662759,0.11991798771184914,0,No Failure
H,298.53414792378294,309.8284893946989,1592.45451935057,42.91048111165378,16.280758184655102,11.294341470915981,7155.8139347584465,0.06512303273862041,0,No Failure
L,298.5195354949026,308.1585052906635,1356.3553482487544,44.24423640918781,135.36688249804308,9.638969795760943,6284.327452329911,0.5414675299921723,0,No Failure
H,304.2419871316902,310.48525228198315,1626.7291718001875,46.26831503532689,113.56538220247447,6.2432651502929275,7881.838952639297,0.45426152880989784,0,No Failure
M,301.95569512930865,308.7144344062889,1549.1983784626175,41.187419959010825,43.34806997672494,6.758739276980236,6681.904121645394,0.17339227990689976,0,No Failure
H,295.22977260261393,310.46582811846565,1627.2083255146779,44.151265083027994,26.69980230426361,15.236055515851717,7523.41342440813,0.10679920921705444,0,No Failure
H,298.8694825215792,312.615770809563,1710.7597235099433,43.559334579227375,35.81680876706686,13.746288287983816,7803.669570184077,0.14326723506826744,0,No Failure
M,296.37602132487586,309.4906549036693,1482.0763478756633,38.426789120682265,78.81112484221781,13.114633578793416,5963.940356294342,0.3152444993688712,0,No Failure
L,298.0986186131695,310.19477400562806,1388.5587902667064,44.50291501308939,112.8711668751893,12.09615539245857,6471.148244328311,0.4514846675007572,0,No Failure
L,293.7229706675319,310.90664838580926,1362.5972809181349,35.427594537581186,48.33752732660296,17.18367771827735,5055.1937050116585,0.19335010930641183,0,No Failure
M,299.7260208446121,310.2802912919659,1495.851820004571,30.0,188.9062460293425,10.554270447353815,4699.357088585281,0.75562498411737,0,No Failure
H,297.7161163616774,310.7924841879423,1618.378857237841,36.79255306622822,48.33109477531808,13.076367826264914,6235.463466127308,0.19332437910127231,0,No Failure
H,300.1198105135929,310.1375975663119,1662.9238168527156,49.01560407552144,31.03161248852121,10.01778705271903,8535.625078213308,0.12412644995408484,0,No Failure
L,296.74975748223494,309.76812202493875,1327.9732368757543,38.52283430751161,248.638717307667,13.018364542703807,5357.179192295707,0.994554869230668,1,TWF
M,300.1658237063441,309.0399894778122,1479.307013255756,41.37064503091884,111.92789080684729,8.874165771468085,6408.837005857879,0.44771156322738914,0,No Failure
M,299.17016744375934,310.8460450088894,1544.1816822412716,38.63024991714898,42.50175429009539,11.675877565130065,6246.75584932152,0.17000701716038155,0,No Failure
L,303.0039059303772,308.2585083433859,1377.3765113746613,42.80832664413179,223.639237005915,5.25460241300874,6174.610148807016,0.8945569480236599,1,RNF
L,302.82271372349123,310.9710883383822,1382.18194759536,40.35356333003189,57.772906147791545,8.14837461489094,5840.845580241827,0.23109162459116617,0,No Failure
M,301.57069120602057,308.59630161525473,1488.252044441632,39.65703995383873,231.39498883976017,7.025610409234162,6180.52547214177,0.9255799553590407,0,No Failure
H,299.3467724386776,311.4626072740767,1642.5608661166677,45.068891675252225,29.740213411522415,12.115834835399085,7752.235683759327,0.11896085364608966,0,No Failure
M,303.9707607905206,309.6461824737878,1492.5426999794668,37.67161030690588,210.45367398460814,5.675421683267189,5888.02394569451,0.8418146959384326,1,TWF
M,296.89392944432035,308.7681313118669,1510.1171673750293,41.86038891348526,46.06677715564966,11.87420186754656,6619.764227152102,0.18426710862259865,0,No Failure
M,297.1928827408727,310.57929864507963,1519.2541035552752,39.126391694610916,234.5844121438135,13.386415904206956,6224.849192507391,0.9383376485752539,1,TWF
M,299.83243380022185,310.9287675350758,1499.0924588906528,39.46286873393554,143.56091067869212,11.096333734853943,6195.06247349966,0.5742436427147685,0,No Failure
H,304.50807621784224,310.06192135189644,1618.2942002327743,37.907012503383626,47.4784239369147,5.5538451340542,6424.001802963881,0.18991369574765882,0,No Failure
H,299.5953221862598,311.2206105486789,1680.4228182810618,40.92022175306864,211.20501357218106,11.625288362419099,7200.8732525169935,0.8448200542887242,1,TWF
L,299.63350951358143,307.7149155053306,1351.670193410417,37.29378724876409,97.64399804271685,8.081405991749193,5278.807729148782,0.39057599217086736,1,HDF
M,297.1161792877764,308.6794037102534,1456.7749086368706,45.64960089380547,183.20335531553954,11.563224422476992,6963.988664072425,0.7328134212621582,1,RNF
M,301.8918591705408,311.29240893046875,1435.9411574976093,31.579641680706192,160.86018038907582,9.40054975992797,4748.675132485007,0.6434407215563033,0,No Failure
L,301.9063525086587,309.7763307258021,1364.8948587730238,44.44629945722231,178.573630609214,7.869978217143398,6352.774267444685,0.714294522436856,0,No Failure
L,301.5781504027998,308.13778667355115,1308.5263100561149,31.27871159655509,85.9287236188946,6.559636270751355,4286.076644727837,0.3437148944755784,0,No Failure
M,298.74155865430527,309.301133819558,1512.9318638818936,42.686078188049805,234.70637180286693,10.559575165252738,6762.9198922174,0.9388254872114677,1,TWF
M,298.586586463254,309.0765995274749,1476.731450734082,35.81134882893786,139.95328658143526,10.490013064220932,5537.972837614689,0.5598131463257411,1,RNF
L,297.4137554991901,309.8340382685271,1356.6592886247504,42.8316113208417,19.390152498295706,12.420282769337007,6085.045408824622,0.07756060999318282,0,No Failure
L,300.1677450035219,309.6292490161924,1331.0799236018954,39.39320495991918,16.683501840024846,9.461504012670503,5491.033164477022,0.06673400736009938,0,No Failure
H,297.839185341443,310.67893172893815,1720.0768324109322,34.83823322055605,184.5574069626334,12.839746387495154,6275.272456791498,0.7382296278505336,0,No Failure
L,297.64516698950143,309.93053394838745,1397.5157828909323,46.79309269921909,212.4936090374995,12.285366958886016,6848.052627943291,0.849974436149998,1,TWF
L,299.15261856617866,311.359739255037,1417.3648450093915,43.883231549278214,173.81990877279324,12.207120688858367,6513.416891638818,0.695279635091173,0,No Failure
M,299.0216876496316,310.4245485997197,1500.721433073572,42.51587728499428,69.37432786893935,11.402860950088098,6681.5903890039535,0.2774973114757574,0,No Failure
H,298.9240429423561,310.9576716111936,1682.8944375645951,38.79815127806068,56.475990373938,12.03362866883748,6837.4871791800615,0.22590396149575198,0,No Failure
L,300.9328891936805,311.1651571238945,1354.5825038800572,44.055423067262325,141.35914737724022,10.232267930213993,6249.329964101959,0.5654365895089609,0,No Failure
M,300.15809560430057,309.61123124957044,1544.0877410230119,33.58374189200879,49.194874508890486,9.453135645269867,5430.373189141244,0.19677949803556194,0,No Failure
M,299.42368793897776,308.73812255664154,1497.8231380423117,30.0,94.7749391175745,9.314434617663778,4705.550166850537,0.37909975647029803,0,No Failure
L,300.36602585662297,311.20697032463227,1280.1255329819603,32.18837065403899,157.17280778627557,10.840944468009297,4314.9937558574475,0.6286912311451023,0,No Failure
M,298.01694591779074,310.13584174810813,1440.0413542423819,35.390059818367924,71.22783414378203,12.118895830317399,5336.8485533136045,0.2849113365751281,0,No Failure
M,300.21055724781934,310.1393512078989,1550.0493335869355,36.22581557954734,93.85973042705787,9.928793960079588,5880.202881425092,0.37543892170823145,0,No Failure
M,300.30120498568925,309.3666700784698,1514.3551342245257,37.82578215576955,90.12947371959609,9.065465092780528,5998.522184403021,0.36051789487838437,0,No Failure
M,296.99390628128504,309.38314466689644,1516.3277055012522,38.047833826901815,115.1308787149779,12.389238385611407,6041.59521587791,0.4605235148599116,0,No Failure
M,301.99138750874073,310.84672233877086,1544.6894352687475,36.75080858854484,168.58995599261786,8.855334830030131,5944.792399727859,0.6743598239704715,0,No Failure
L,298.23713258954604,310.9846557981376,1267.4132528137022,30.0,195.5872922317708,12.747523208591588,3981.69616410187,0.7823491689270832,0,No Failure
H,300.1806195984129,311.28382340574666,1635.6559513907278,42.96061683805324,166.2706198701265,11.103203807333784,7358.5303354360385,0.665082479480506,0,No Failure
M,302.3288234810705,310.7929616054455,1492.917905111549,38.676626232743324,6.541957624370431,8.464138124374983,6046.626292847858,0.026167830497481722,0,No Failure
L,301.8513535154277,310.5690295372598,1387.1137616603507,36.51828207726308,224.20992378700976,8.717676021832062,5304.580412593928,0.8968396951480391,1,TWF
L,300.06866677713765,310.13152273007813,1315.367988744956,46.99010645686347,145.29719638812762,10.062855952940481,6472.652856425103,0.5811887855525104,0,No Failure
M,299.2750019942359,309.824620315679,1463.9587876945563,38.78917317722318,230.06162346413421,10.54961832144312,5946.589932743926,0.9202464938565369,0,No Failure
M,301.8950238171511,311.2103238499416,1463.6895404700867,40.29265866228088,240.9680728552233,9.315300032790446,6175.946313279079,0.9638722914208933,1,TWF
L,301.34938995561726,309.62627912950956,1407.4709038136011,43.97925075891566,116.96169564653067,8.2768891738923,6482.102138140475,0.46784678258612267,0,No Failure
M,298.7632699599117,310.36997921388075,1477.7240371859066,32.55069578886253,229.09140060906438,11.60670925396903,5037.119243662129,0.9163656024362575,0,No Failure
L,298.4102127059966,309.19598700204574,1322.3991257839093,39.88694973166049,91.34640978274447,10.785774296049112,5523.59715534974,0.3653856391309779,0,No Failure
M,295.855289636608,309.3407009631496,1519.0349445218371,43.962739270083134,65.09456369553656,13.485411326541566,6993.283391099757,0.26037825478214627,0,No Failure
L,300.30806368336715,309.7638454321428,1315.052729588255,39.54335548650544,18.40756816342759,9.455781748775621,5445.59456332041,0.07363027265371036,0,No Failure
M,299.8346045099632,309.19606162327284,1448.8515473173306,33.48328706657204,112.95761356628043,9.361457113309655,5080.197461796968,0.4518304542651217,0,No Failure
M,302.2723827492851,310.7978518254783,1452.548964788253,37.58762277527363,172.1718204342616,8.52546907619319,5717.474796405424,0.6886872817370464,0,No Failure
H,300.71811018696076,309.151965748455,1647.7277041313816,42.94493322871824,244.208917069042,8.433855561494227,7410.132840609081,0.976835668276168,1,TWF
L,302.66845838834536,310.09922962338106,1374.8664215182612,30.0,130.32731946789346,7.4307712350357065,4319.270249509057,0.5213092778715739,0,No Failure
M,298.60527154416764,310.1325080968422,1493.9326426844873,33.23669502449378,183.6187079525246,11.527236552674538,5199.690174809786,0.7344748318100984,0,No Failure
L,302.27630066193524,308.1892004216803,1371.5221351904534,49.867684479675546,224.03678814079194,5.912899759745073,7162.269229162183,0.8961471525631678,1,OSF
H,298.9421672417907,310.0589761794764,1585.4864989596945,44.42295113842456,135.79632534329778,11.116808937685732,7375.62066935523,0.5431853013731911,0,No Failure
H,301.55519212358456,310.75569953804813,1588.1878583612756,49.4173528035814,41.6913207590284,9.200507414463573,8218.829419756821,0.1667652830361136,0,No Failure
L,297.08248321493863,310.42872799329405,1462.696795814712,44.331588507539415,212.05210380000028,13.346244778355413,6790.413501421878,0.8482084152000011,1,TWF
M,300.4702705987324,309.79569279139986,1536.9835281641003,41.96991821587065,143.54342656086018,9.325422192667475,6755.164885552389,0.5741737062434408,0,No Failure
